"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 04 20:32:01 MSK 2020","Sun Oct 04 20:32:02 MSK 2020","1355","","test_main_page","TestLoginFromMainPage","","","test_guest_can_see_catalog_page",""
"passed","Sun Oct 04 20:31:34 MSK 2020","Sun Oct 04 20:31:36 MSK 2020","1637","","test_main_page","TestLoginFromMainPage","","","test_guest_can_go_to_login_page",""
"passed","Sun Oct 04 20:32:07 MSK 2020","Sun Oct 04 20:32:13 MSK 2020","5650","","test_main_page","TestLoginFromMainPage","","","test_guest_can_register",""
"passed","Wed Sep 30 14:25:29 MSK 2020","Wed Sep 30 14:25:31 MSK 2020","2448","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"failed","Sun Oct 04 20:32:26 MSK 2020","Sun Oct 04 20:32:34 MSK 2020","8167","","test_main_page","TestLoginFromMainPage","","","test_user_can_authorizate",""
"passed","Sun Oct 04 20:31:41 MSK 2020","Sun Oct 04 20:31:43 MSK 2020","1245","","test_main_page","TestLoginFromMainPage","","","test_guest_should_see_login_link",""
"passed","Wed Sep 30 14:24:55 MSK 2020","Wed Sep 30 14:24:57 MSK 2020","1790","","test_product_page","","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Wed Sep 30 14:24:48 MSK 2020","Wed Sep 30 14:24:50 MSK 2020","1615","","test_product_page","","","","test_guest_should_see_login_link_on_product_page",""
"skipped","Wed Sep 30 14:25:21 MSK 2020","Wed Sep 30 14:25:23 MSK 2020","2549","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message_after_adding_product_to_basket",""
"passed","Wed Sep 30 14:25:03 MSK 2020","Wed Sep 30 14:25:16 MSK 2020","13043","","test_product_page","","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"skipped","Wed Sep 30 14:24:35 MSK 2020","Wed Sep 30 14:24:42 MSK 2020","7196","","test_product_page","","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Sun Oct 04 20:32:18 MSK 2020","Sun Oct 04 20:32:20 MSK 2020","1912","","test_main_page","TestLoginFromMainPage","","","test_user_can_search_book",""
"passed","Wed Sep 30 14:24:18 MSK 2020","Wed Sep 30 14:24:30 MSK 2020","12056","","test_product_page","","","","test_guest_cant_see_success_message",""
"passed","Sun Oct 04 20:31:48 MSK 2020","Sun Oct 04 20:31:55 MSK 2020","7063","","test_main_page","TestLoginFromMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
